Stanza_text,ST_Correct,Title,Author,Year
"Si por santo publica
Roma a Fernando,
es cierto que San Pedro
lo ha dicho claro.
Corona
tiénela como hay gloria
y el reino
le dejó por el cielo
¡Qué dicha
ha tenido Sevilla!",chamberga,Mojiganga que se hizo en fiesta de Sevilla año de 1672,Anonymous,Unknown
"Hoy ensalzo a Cristóbal, 
pero es tan alto 
que mi pluma no puede 
más levantarlo, 
que el hombre 
es de prendas mayores, 
le vemos 
para todo dispuesto, 
por grande 
no hay favor que no alcance.",chamberga,A San Cristóbal,"Sánchez, Vicente",1680
"Un pesebre es oriente
del Sol y el Alba,
y a sus luces no importa
todo una paja.
Arista,
¡cómo enciende la vista!
Pajuelas
son incendios de estrellas
Flamantes,
que se abrasan lo aires…",chamberga,Un pesebre es oriente,"de León Marchante, Manuel",1680
"tus casos falaçes, Fortuna, cantamos,
estados de gentes que giras e trocas;
tus grandes discordias, tus firmezas pocas,
y los qu'en tu rueda quexosos fallamos.
Fasta que al tempo de agora vengamos
de fechos pasados cobdicia mi pluma
y de los presentes fazer breve suma,
y dé fin Apolo, pues nos començamos.",copla_arte_mayor,Argumenta contra la Fortuna,"Mena, Juan de",1456
"«Amores me dieron corona de amores
por que mi nombre por más bocas ande.
Entonces non era mi mal menos grande
quando me davan plazer sus dolores.
Vencen el seso los dulces errores,
mas no duran siempre segund luego plazen;
pues me fizieron de mal que vos fazen,
sabed al amor desamar, amadores.",copla_arte_mayor,Cantar de Macías,"Mena, Juan de",1456
"E ya, pues, desrama de tus nuevas fuentes
en mí tu subçidio, inmortal Apolo;
aspira en mi boca por que pueda sólo
virtudes e viçios narrar de potentes.
A estos mis dichos mostradvos presentes,
o fijas de Tespis, con vuestro thesoro,
y con armonía de aquel dulçe choro
suplid cobijando mis inconvenientes.",copla_arte_mayor,Otra vez invoca,"Mena, Juan de",1456
"Tanto anduvimos el cerco mirando,
que nos fallamos con nuestro Macías,
e vimos que estava llorando los días
con que su vida tomó fin amando.
Lleguéme más çerca, turbado ya quando
vi ser un tal ombre de nuestra nación,
e vi que dezía tal triste canción,
en elegíaco verso cantando:",copla_arte_mayor,Cómo falló Macías,"Mena, Juan de",1456
"Tú, Calïope, me sey favorable,
dándome alas de don virtuoso,
y por que discurra por donde non oso,
conbida mi lengua con algo que fable.
Levante la Fama su boz inefable,
por que los fechos que son al presente
vayan de gente sabidos en gente;
olvido non prive lo que es memorable.",copla_arte_mayor,Invocación,"Mena, Juan de",1456
"¿Pues, cómo, Fortuna, regir todas cosas
con ley absoluta sin orden te plaze?
¡Tú non farías lo qu'el cielo faze,
e fazen los tiempos, las plantas e rosas?
O muestra tus hobras ser siempre dañosas,
o prósperas, buenas, durables, eternas;
non nos fatigues con vezes alternas,
alegres agora e agora enojosas.",copla_arte_mayor,A Fortuna,"Mena, Juan de",1456
"¿Quieres pasar? La noche está callada…
Escucha el leve son de nuestro aliento,
y el beso que promete sobre el viento
la muda excitación de tu mirada.
La sed la ha de calmar la madrugada.
Quitémonos la piel de puro intento.
—Los dos sabemos que este es el momento.—
Hagamos el amor… no digas nada.",copla_arte_mayor,La invitación,"Mena, Juan de",1456
"Viénele a un mono la chusca idea
De ornar con flores a una marrana,
Y ella al mirarse ya tan galana,
Envanecida se contonea.
Y a cuantos mira grúñeles: ¡ea!
¡paso a la venus! ¡todos atrás!
¡ah! dijo el zorro: siempre eres fea;
pero adornada: ¡mil veces más!",copla_arte_mayor,La marrana peripuesta,"Pombo, Rafael",1912
"Pues dame liçençia, mudable Fortuna,
por tal que blasme de ti como devo.
Lo que a los sabios non deve ser nuevo
inoto a persona podrá ser alguna;
e pues que tu fecho así contrapuna,
fas a tus casos como se concorden,
ca todas las cosas regidas por orden
son amigables de forma más una.",copla_arte_mayor,Disputa con la Fortuna,"Mena, Juan de",1456
"Entre las cuales venía
a la parte de Levante
un poderoso elefante
que encima de sí traía
de hermosa geometría
un castillo bien obrado;
cómo era fabricado,
expresar no lo sabría.",copla_arte_menor,Coronación de Mosén Jordi,"Santillana, Marqués de",1458
"Una dueña que vestía
paños de claro rubí
entre sus almenas ví;
de quien por cierto diría
que la su filosomía
y forma no era humana
ni de la regla profana
de la terrestre bailía",copla_arte_menor,Coronación de Mosén Jordi,"Santillana, Marqués de",1458
"Cultivo una rosa blanca,
En julio como en enero,
Para el amigo sincero
Que me da su mano franca.
Y para el cruel que me arranca
El corazón con que vivo,
Cardo ni oruga cultivo:
Cultivo la rosa blanca.",copla_arte_menor,Cultivo una rosa blanca,"Martí, José",1895
"Un prado de grand llanura
veía, con tantas flores,
que sus diversas colores
ocultavan la verdura,
odífferas sin messura;
en torno del qual passava
un flumen, que lo çercava
con su muy gentil fondura.",copla_arte_menor,Coronación de Mosén Jordi,"Santillana, Marqués de",1458
"Ánimas que desta casa
partistes al purgatorio,
ya en sillón, ya en silla rasa,
del divino consistorio
os venga al vuestro sin tasa,
y en un vuelo
el ángel os lleve al cielo,
para ver lo que allá pasa.",copla_arte_menor,Comedia famosa de Pedro de Urdemalas,"Cervantes, Miguel de",1616
"Aquí yace el caballero,
bien molido y mal andante,
a quien llevó Rocinante
por uno y otro sendero.
Sancho Panza el majadero
yace también junto a él,
escudero el más fiel
que vio el trato de escudero",copla_arte_menor,"DEL CACHIDIABLO,
ACADÉMICO DE LA ARGAMASILLA,
EN LA SEPULTURA DE DON QUIJOTE

Epitafio","Cervantes, Miguel de",1616
"Reposa aquí Dulcinea,
y, aunque de carnes rolliza,
la volvió en polvo y ceniza
la muerte espantable y fea.
Fue de castiza ralea
y tuvo asomos de dama;
del gran Quijote fue llama
y fue gloria de su aldea.",copla_arte_menor,"DEL TIQUITOC,
ACADÉMICO DE LA ARGAMASILLA,
EN LA SEPULTURA DE DULCINEA DEL TOBOSO

Epitafio","Cervantes, Miguel de",1616
"Yace aquí de un amador
el mísero cuerpo helado,
que fue pastor de ganado,
perdido por desamor.
Murió a manos del rigor
de una esquiva hermosa ingrata,
con quien su imperio dilata
la tiranía de amor.",copla_arte_menor,Yace aquí de un amador,"Cervantes, Miguel de",1616
"Tal secretario formáis,
Gabriel, en vuestros escritos,
que por siglos infinitos
en él os eternizáis;
de la ignorancia sacáis
la pluma, y en presto vuelo
de lo más bajo del suelo
al cielo la levantáis.",copla_arte_menor,Tal secretario formáis,"Cervantes, Miguel de",1616
"Desde hoy más, la discreción
quedará puesta en su punto,
y el hablar y escribir junto
en su mayor perfección,
que en esta nueva ocasión
nos muestra, en breve distancia,
Demóstenes su elegancia
y su estilo Cicerón.",copla_arte_menor,Tal secretario formáis,"Cervantes, Miguel de",1616
"«Para dos perdices dos,»
Dijo allá el del Castañar;
Y así lo dejó pasar
Gente a la buena de Dios.
 No lo escuchará ninguno
De estómago fuerte hoy día.
Sin replicar: «No, García:
Para dos perdices... uno.»",copla_castellana,Epigrama,"Hartzenbusch, Juan Eugenio",1880
"Rico el matiz, leve el ala,
Como linda mariposa,
Vaga Amor de rosa en rosa,
Mostrando viveza y gala;
  Mas si una luz mira ciego,
Vuela, llega, en torno gira,
Se acerca, tócala, espira,
Y consúmese en su fuego.",copla_castellana, EL AMOR Y LA MARIPOSA. MADRIGAL,"Martínez de la Rosa, Francisco de Paula",1862
"Pinta mi amigo el pintor
Sus angelones dorados,
En nubes arrodillados,
Con soles alrededor.
Pínteme con sus pinceles
Los angelitos medrosos
Que me trajeron, piadosos,
Sus dos ramos de claveles.",copla_castellana,Versos sencillos. XL,"Martí, José",1895
"¡Todas las noches te veo
y hablo contigo y te toco
y te abrazo como un loco,
te acaricio... y te poseo!
¿Sin embargo, estás cautiva
en una tumba desierta...
qué me importa que estés muerta,
si en mis sueños estás viva?",copla_castellana,Gotas de ajenjo. LXXXVI,"Flórez, Julio",1923
"Desde Adán hasta la fecha
Llora el hombre sus quebrantos,
Y hay de suspiros y llantos
Una borrasca deshecha.
¡Cuan poderoso es el flujo
De engañar a los demás!
¿Acaso el dolor es más
Que un artículo de lujo?",copla_castellana,Epigrama,"Pombo, Rafael",1912
"Bondad de las noches solas
En que nuestra alma dormita
Ante la luna infinita
Que reina sobre las olas.
Abismo de resplandor
En que, con dulce martirio,
Se doblega como un lirio
La tristeza del amor.",copla_castellana,Intermezzo. Luna llena,"Lugones, Leopoldo",1938
"El pleno sol goza enhiesta
Sobre un seco y alto tronco.
Desgrana en su arrullo ronco
Su áurea mazorca la siesta.
El follaje, más umbrío,
Le ofrece en vano su toldo,
Y en palpitante rescoldo
Mulle su pluma el estío...",copla_castellana, LA TORCAZ,"Lugones, Leopoldo",1938
"Noche obscura, viento leve,
Y sobre la tierra bruna,
Diríase que la nieve
Va pulverizando luna.
La hojarasca en el reposo
Se arrebuja como un manto;
Y en nuestro amor silencioso,
A flor de alma corre llanto.",copla_castellana,Invierno,"Lugones, Leopoldo",1938
"Si del boscaje fecundo
No quise flores cortar,
Cuando vi en mi afán profundo
Que al robárselas al mundo
Se las robaba a tu altar,
En mi ansia por tributarte
Mi ofrenda de admiración,
Acudo, señora, a darte,
Si no las flores del arte,
Las flores del corazón.",copla_real,A LA EMINENTE ACTRIZ SALVADORA CAYRÓN,"Acuña, Manuel",1873
"Duerme, Niño, el sueño blando
en esta cuna escondida,
aunque tu madre llorando
por tu existencia llamando
quiera volverte a la vida.
Porque en la noche sombría
de nuestra vida ilusoria
no has de encontrar, alma mía,
la luz del eterno día
que has encontrado en la gloria.",copla_real,Epitafio a un niño,"Coronado, Carolina",1911
"Aquí la envidia y mentira
me tuvieron encerrado.
Dichoso el humilde estado
del sabio que se retira
de aqueste mundo malvado,
y con pobre mesa y casa
en el campo deleitoso
con sólo Dios se compasa
y a solas su vida pasa
ni envidiado ni envidioso.",copla_real,ODA XXIII. A LA SALIDA DE LA CÁRCEL,"León, Fray Luis de",1591
"Si vos pretendéis que venga
a ser tan gran necio el mundo,
que por vuestra barba luenga,
por filósofo profundo,
sin otro argumento, os tenga;
mirad que dais ocasión
a que ya cualquier cabrón,
por la gran barba que cría,
aspire a ser algún día
otro Séneca o Platón.",copla_real,A un letrado,"de Argensola, Bartolomé Leonardo ",1631
"Preguntó al gato Mambrú
El lebrel Perdonavidas:
—Pariente de Micifú,
¿Qué secreto tienes tú
Para vivir siete vidas?
Y Mambrú le contestó:
—Mi secreto es muy sencillo.
Pues no consiste sinó
En frecuentar como yo
El aseo y el cepillo.",copla_real,Las siete vidas del gato,"Pombo, Rafael",1912
"Amoroso pensamiento,
si te precias de ser mío,
camina con tan buen tiento
que ni te humille el desvío
ni ensoberbezca el contento.
Ten un medio -si se acierta
a tenerse en tal porfía-:
no huyas de la alegría
ni menos cierres la puerta
al llanto que amor envía",copla_real,La Galatea,"de Cervantes Saavedra, Miguel",1616
"¡Oh altissima cordura 
a do todo el bien consiste, 
yo llena de hermosura 
de tu divina apostura 
razón digna me heziste; 
yo soy diuina en el cielo 
porque de ti soy mandada; 
yo soy de tan alto vuelo; 
yo soy la que en este suelo 
jamás me conturba nada! ",copla_real,Paso de la razón y la fama,"Timoneda, Juan de",1583
"Calla, miserable Olvido,
hijo de la misma muerte;
no compares tu partido,
que ser tuyo o no haber sido
todo casi es una suerte;
y ven en conocimiento
de mi gracia y eccelencia;
que yo soy de nacimiento,
hija del entendimiento,
madre de la providencia.",copla_real,Memoria,"Castillejo, Cristóbal de",1556
"Mas el doctor no sabía
que hoy es siempre todavía.",couplet,Proverbios y Cantares - XXXVIII,"Machado, Antonio",1939
"Doy consejo, a fuer de viejo:
nunca sigas mi consejo.",couplet,Proverbios y Cantares - XCIV,"Machado, Antonio",1939
"—Ya se oyen palabras viejas.
—Pues aguzad las orejas.",couplet,PROVERBIOS Y CANTARES. LXXXVI,"Machado, Antonio",1939
"Qui la vida quisiere de sant Millán saber,
e de la su istoria bien certano seer,
meta mientes en esto que yo quiero leer:
verá adó embían los pueblos so aver.",cuaderna_vía,Vida de San Millán de la Cogolla,"Berceo, Gonzalo de",en torno a 1260
"Había en una tierra un hombre labrador  
que usaba más la reja que no otra labor, 
más amaba a la tierra que a su Creador,
y era de todas formas hombre revolvedor.",cuaderna_vía,El labrador avaro,"Berceo, Gonzalo de",en torno a 1260
"Era un simple clérigo, pobre de clerecía
dicié cutiano missa de la Santa María;
non sabié decir otra, diciéla cada día,
más la sabié por uso que por sabiduría.",cuaderna_vía,El labrador avaro,"Berceo, Gonzalo de",en torno a 1260
"Murió el avaricioso de tierra bien cargado 
y en soga de diablos fue pronto cautivado.
Lo arrastraban con cuerdas de coces bien sobado,
Le cobraban al doble que el pan que había robado.",cuaderna_vía,El labrador avaro,"Berceo, Gonzalo de",en torno a 1260
"Entonces habló un ángel dijo: ""Yo soy testigo,
es verdad, no mentira esto que yo os digo. 
El cuerpo que llevaba esta alma consigo   
fue de Santa María vasallo y amigo"". ",cuaderna_vía,El labrador avaro,"Berceo, Gonzalo de",en torno a 1260
"Luego que este nombre de la Santa Regina
escucharon los diablos huyeron por la esquina.
Se derramaron todos igual que una neblina,
dejando abandonada aquella alma mezquina.",cuaderna_vía,El labrador avaro,"Berceo, Gonzalo de",en torno a 1260
"Yo, el maestro Gonzalo de Berceo llamado,
yendo en romería acaecí en un prado
verde, y bien sencido, de flores bien poblado,
lugar apetecible para el hombre cansado.",cuaderna_vía,Introducción a los Milagros de Nuestra Señora,"Berceo, Gonzalo de",en torno a 1260
"Daban olor soberbio las flores bien olientes,
refrescaban a la par las caras y las mentes;
manaban cada canto fuentes claras corrientes,
en verano bien frías, en invierno calientes.",cuaderna_vía,Introducción a los Milagros de Nuestra Señora,"Berceo, Gonzalo de",en torno a 1260
"Gran abundancia había de buenas arboledas,
higueras y granados, perales, manzanedas,
y muchas otras frutas de diversas monedas,
pero no las había ni podridas ni acedas.",cuaderna_vía,Introducción a los Milagros de Nuestra Señora,"Berceo, Gonzalo de",en torno a 1260
"Como en chica rosa está mucha color
y en oro muy poco gran precio y gran valor,
como en poco blasmo yace gran buen olor,
así en dueña chica yace muy gran sabor.",cuaderna_vía,"Son [muy] frías de fuera, con el amor ardientes:","Ruiz, Juan",1360
"Como robí pequeño tiene mucha bondad,
color, virtud y precio y noble claridad,
así dueña pequeña tiene mucha beldad,
hermosura, donaire, amor y lealtad.",cuaderna_vía,"Son [muy] frías de fuera, con el amor ardientes:","Ruiz, Juan",1360
"Chica es la calandria y chico el ruiseñor,
pero más dulce cantan que otra ave mayor;
la mujer que es chica por eso es mejor:
en doñeo es más dulce que azúcar ni flor.",cuaderna_vía,"Son [muy] frías de fuera, con el amor ardientes:","Ruiz, Juan",1360
"Y todo el coro infantil 
va cantando la lección: 
mil veces ciento, cien mil; 
Mil veces mil, un millón.",cuarteta,Recuerdo infantil,"Machado, Antonio",1939
"Hoja en que estampo mi nombre,
Tú me sobrevivirás:
¿Qué vale ¡ay! el ser del hombre
Cuando un papel dura más?",cuarteta,La vida del hombre,"Hartzenbusch, Juan Eugenio",1880
"Luz del alma, luz divina,
faro, antorcha, estrella, sol...
Un hombre a tientas camina;
lleva a la espalda un farol.",cuarteta,LI,"Machado, Antonio",1939
"Ya maduró un nuevo cero,
que tendrá su devoción:
un ente de acción tan huero
como un ente de razón.",cuarteta,XXXV,"Machado, Antonio",1939
"Ni vale nada el fruto
cogido sin sazón...
Ni aunque te elogie un bruto
ha de tener razón.",cuarteta,V,"Machado, Antonio",1939
"¿Dar posada al peregrino?
A uno di posada ayer;
y hoy, prosigió su camino,
llevándose a mi mujer.",cuarteta,XXV,"Darío, Rubén",1916
"Se desgrana un cristal fino
sobre el sueño de una flor;
trina el poeta divino...
¡Bien trinado, Ruiseñor!",cuarteta,Dream,"Darío, Rubén",1916
"Al brillar la razón a su alma pura,
Miró los males del doliente suelo:
Gimió; y los ojos revolviendo al cielo,
Voló buscando perenal ventura.",cuarteto,En el sepulcro de un niño,"Heredia, José María",1839
"Dio Perico Muñoz en olvidar
Hasta el comer a veces y el dormir:
Sólo una vez se le olvidó el vivir,
Y nunca más lo pudo recordar.",cuarteto,"El peor, el último olvido","Hartzenbusch, Juan E.",1880
"Para un viejo, almacén de desengaños,
Si en la esfera no está de los pudientes,
Son los amigos lo que son los dientes:
Se mellan y se pudren con los años.",cuarteto,Epigramma X,"Bretón de los Herreros, Manuel",1873
"Floreció, con la lluvia, en los jardines,
El cándido jazmín de primavera.
La noche, cual profunda enredadera,
Cuaja también en luz claros jazmines...",cuarteto,La noche pura,"Lugones, Leopoldo",1938
"No sé adónde llevóse la marea
de la muerte tu ser, pero yo exclamo,
con el inmenso amor con que te amo:
«¡Dondequiera que esté, bendita sea!»",cuarteto,Benedicta,"Nervo, Amado",1919
"Aquí yacen de Carlos los despojos:
la parte principal volvióse al cielo,
con ella fue el valor; quedóle al suelo
miedo en el corazón, llanto en los ojos.",cuarteto,Epitafio al túmulo del príncipe Don Carlos,"De León, Fray Luis",1591
" ¿Quién reunió la tarde a la mañana?
  Lo ignoro; sólo sé
que en una breve noche de verano
se unieron los crepúsculos, y... fue.",cuarteto_lira,XXXII,"Bécquer, Gustavo Adolfo",1870
"Sube muy lento, en las mañanas frías,
por la marmórea grada,
hasta un rincón de piedra... Allí aparece
su mano seca entre la rota capa.",cuarteto_lira,Crece en la plaza en sombra,"Machado, Antonio",1939
" Mas ¡ay!, de un corazón llegué al abismo
   y me incliné un momento,
y mi alma y mis ojos se turbaron:
   ¡Tan hondo era y tan negro!",cuarteto_lira,XLVII,"Bécquer, Gustavo Adolfo",1870
"—Nuestro español bosteza.
¿Es hambre? ¿sueño? ¿Hastío?
Doctor, ¿tendrá el estómago vacío?
—El vacío es más bien en la cabeza.",cuarteto_lira,L,"Machado, Antonio",1939
"Háblame más... y más..., que tus acentos
me saquen de este abismo;
el día en que no salga de mí mismo,
se me van a comer los pensamientos.",cuarteto_lira,Humoradas,"de Campoamor, Ramón",1901
"Guardo en mi pecho un trono
para la madre mía:
que aunque ella me dio el ser, yo la perdono...
porque no supo el daño que me hacía.",cuarteto_lira,LVIII,"Flórez, Julio",1923
"Como se arranca el gierro de una herida,
tu amor de las entrañas me arranqué, 
aunque sentí al hacerlo que la vida 
me arrancaba con él.",cuarteto_lira,XLVIII,"Bécquer, Gustavo Adolfo",1870
"Mañana, como un monte que derrumba
De noche y en sigilo su eminencia,—
Como un vaso de aroma roto y hueco
 Caeré sobre la tierra.",cuarteto_lira,"Mañana, como un monte que derrumba ","Martí, José",1895
"La estéril gran señora desespera
y odia su gentil talle
cuando pasa la pobre cocinera
con seis hijos y medio por la calle.",cuarteto_lira,XIX,"Darío, Rubén",1916
"Triste fatalidad; se pierde un hombre
pero nadie a buscarlo se apresura;
se pierde una mujer, y, en el instante,
todos van en su busca.",cuarteto_lira,XCVIII,"Flórez, Julio",1923
"Al oír sus razones
fueron para aquel necio
mis palabras, sangrientos bofetones;
mis ojos, puñaladas de desprecio.",cuarteto_lira,VII,"Darío, Rubén",1916
"Como tal, pues, a darte
voy cien mil parabienes;
gracias no, que esas se hallan
en el polvo que cae de tus paredes.",endecha_real,"A la misma señora Juana Inés de la Cruz, endechas endecasílabas","Álvarez de Velasco, Francisco",1708
"¡Oh Padre, cuánto es bello
   El mundo que tú hiciste!
   No hay templo, no hay palacio.
No hay sueño que su encanto rivalice.
   ¿Por qué, por qué los hombres,
   Como envidiosos tigres.
   Viven aborreciéndose
El breve tiempo que en el mundo viven?
   Cuando aire, y cielo, y tierra
   Murmuran; ¡sed felices!
   ¡Amaos unos a otros
Y trabajad para llamaros libres!
   ¡Oh Padre, cuánto es bello
   El mundo que tú hiciste!
   ¡Felices los que sepan
Agradecerte, amarte y bendecirte!",endecha_real,Belleza y amor,"Pombo, Rafael",1912
"Únicamente al riego
el jardinero atiende,
de modo que entretanto
los peces, agua en que vivir no tienen.",endecha_real,El jardinero y su amo,"de Iriarte y Oropesa, Tomás",1791
"Pues cuando fuera cierto, 
Tus rayos refulgentes
Bastaban eficaces
A hacerlos renacer en su Occidente",endecha_real,"A la misma señora Juana Inés de la Cruz, endechas endecasílabas","Álvarez de Velasco, Francisco",1708
"Si por estos caudillos
goza las trasparentes
varias piedras el mundo
que en vez de vidrios a su adorno ofrecen ",endecha_real,"A la misma señora Juana Inés de la Cruz, endechas endecasílabas","Álvarez de Velasco, Francisco",1708
"En un jardín de flores
había una gran fuente,
cuyo pilón servía
de estanque a carpas, tencas y otros peces.",endecha_real,El jardinero y su amo,"de Iriarte y Oropesa, Tomás",1791
"Y tú, del quinto Cielo
Estrella no, enemiga,
que entre sangrientos humos,
Sangre, y furor aun con el humo indicas.",endecha_real,Pintura de la noche desde un crepúscolo a otro,"de Trillo y Figueroa, Francisco",1680
"Cessa el silencio en todos,
mas no la pena mía
que a lento paso quiere
terminar el camino de mi vida.",endecha_real,Pintura de la noche desde un crepúscolo a otro,"de Trillo y Figueroa, Francisco",1680
"Yo solo desvelado,
yo solo en compañía
de mis zelosas ansias
la noche, vien mis ojos como el día.",endecha_real,Pintura de la noche desde un crepúscolo a otro,"de Trillo y Figueroa, Francisco",1680
"Hombre, si esa unión divides
que se obró con astas fuertes,
por presto que la conciertes
habrá tardanzas y lides;
húyelas, y como Alcides,
siquiera una vez, temprano
forma un justo abrigo humano
que dure y guarde tus paces,
pues para este fin las haces
con el acero en la mano.",espinela,Hombre,"de Argensola, Bartolomé Leonardo ",1631
"Pulga que a fondo en la lana
De la cobija se mete
A echar, después del banquete,
Su siesta de musulmana,
No escapará en la mañana
De las uñas de su suerte.
Pues sabrá, cuando despierte
Y un desperezo acaricie,
Que siempre fue la molicie
Dulce trampa de la muerte.",espinela,La pulga sibarita,"Pombo, Rafael",1912
"Si es cosa cierta, señor,
que suelto el francolín canta,
y le añuda la garganta
la vista del cazador;
por retrato de mi amor
la dulce tirana mía
este francolín me envía:
mas si a cantar me atreví,
y en viéndola enmudecí,
yo seré cisne algún día.",espinela,A un caballero,"de Argensola, Bartolomé Leonardo ",1631
"Hinco humilde la rodilla
Para bendecir al cielo
Que de mi nativo suelo
Me trajo al fin a la orilla.
¡Oh playa de Sabanilla!
¡Mil veces bendita seas!
Nunca azotada te veas
De llamas ni de huracanes,
Que a todo enfermo lo sanes
Y hagas lindas a las feas.",espinela,Al llegar a mi patria,"Pombo, Rafael",1912
"Amintas, ni del grave mal que pasas
 dejes vencerte, ni, volviendo el rostro
 a tu fortuna, te acobardes tanto
 Que sienta tu flaqueza.",estrofa_francisco_de_la_torre,Oda III,"de la Torre, Francisco",1520
"Clamó la gente mísera y el cielo
escondió los clamores y gemidos
entre los rayos y espantosos truenos
de tu turbada cara.",estrofa_francisco_de_la_torre,Oda II,"de la Torre, Francisco",1520
"Claras lumbres del cielo y ojos claros
del espantoso rostro de la noche,
corona clara y clara Casiopea,
Andrómeda y Perseo,",estrofa_francisco_de_la_torre,Oda,"de la Torre, Francisco",1520
